Data Series,2025 Feb ,2025 Jan ,2024 Dec ,2024 Nov ,2024 Oct ,2024 Sep ,2024 Aug ,2024 Jul ,2024 Jun ,2024 May ,2024 Apr ,2024 Mar ,2024 Feb ,2024 Jan ,2023 Dec ,2023 Nov ,2023 Oct ,2023 Sep ,2023 Aug ,2023 Jul ,2023 Jun ,2023 May ,2023 Apr ,2023 Mar ,2023 Feb ,2023 Jan ,2022 Dec ,2022 Nov ,2022 Oct ,2022 Sep ,2022 Aug ,2022 Jul ,2022 Jun ,2022 May ,2022 Apr ,2022 Mar ,2022 Feb ,2022 Jan ,2021 Dec ,2021 Nov ,2021 Oct ,2021 Sep ,2021 Aug ,2021 Jul ,2021 Jun ,2021 May ,2021 Apr ,2021 Mar ,2021 Feb ,2021 Jan ,2020 Dec ,2020 Nov ,2020 Oct ,2020 Sep ,2020 Aug ,2020 Jul ,2020 Jun ,2020 May ,2020 Apr ,2020 Mar ,2020 Feb ,2020 Jan ,2019 Dec ,2019 Nov ,2019 Oct ,2019 Sep ,2019 Aug ,2019 Jul ,2019 Jun ,2019 May ,2019 Apr ,2019 Mar ,2019 Feb ,2019 Jan ,2018 Dec ,2018 Nov ,2018 Oct ,2018 Sep ,2018 Aug ,2018 Jul ,2018 Jun ,2018 May ,2018 Apr ,2018 Mar ,2018 Feb ,2018 Jan ,2017 Dec ,2017 Nov ,2017 Oct ,2017 Sep ,2017 Aug ,2017 Jul ,2017 Jun ,2017 May ,2017 Apr ,2017 Mar ,2017 Feb ,2017 Jan 
"      Fish, Fresh Or Chilled",100.404,104.454,98.969,96.6,97.705,99.57,99.394,99.507,100.009,100.787,99.362,101.399,103.742,102.957,99.607,100.602,100.127,101.488,102.833,102.581,103.174,105.302,103.919,105.555,103.88,107.189,100.323,99.074,99.46,99.906,101.982,102.435,102.582,103.024,99.148,98.088,97.155,102.227,95.568,95.142,93.597,93.817,94.089,92.886,92.607,93.762,92.049,92.546,96.783,94.918,93.034,93.174,93.23,93.802,93.692,92.685,92.661,91.045,94.097,93.398,94.555,98.608,92.991,91.303,93.05,92.945,93.635,93.552,92.9,91.835,90.602,92.041,94.215,95.359,90.475,89.937,90.617,91.884,92.922,93.8,91.73,89.824,89.458,89.397,96.385,92.035,88.733,87.574,88.211,89.174,90.148,91.168,87.947,87.898,87.574,87.586,89.061,92.961
"      Fish, Frozen",96.64,94.638,98.473,102.168,102.292,101.76,103.115,100.474,98.973,99.558,97.484,96.713,100.019,98.976,102.277,99.169,99.152,95.881,106.205,107.327,107.343,107.854,108.262,108.055,100.947,104.027,95.557,104.232,102.499,101.918,104.461,99.662,98.751,99.045,98.712,87.072,86.944,87.364,90.159,88.454,90.24,89.407,91.812,90.407,91.039,90.239,87.217,88.901,84.751,85.135,86.139,86.926,89.269,89.929,84.209,87.835,91.555,91.555,90.611,85.453,89.167,84.735,88.087,88.599,89.682,87.256,89.747,87.145,87.163,87.71,88.7,85.679,88.627,88.707,90.99,89.657,91.304,89.162,89.39,89.693,87.709,90.457,90.6,88.804,87.815,85.694,90.522,87.911,85.771,87.996,84.839,89.085,88.766,86.446,88.002,87.459,85.627,84.975
"      Other Seafood, Fresh, Chilled Or Frozen",99.841,106.711,101.374,97.126,95.597,97.041,95.618,97.447,99.562,99.688,95.984,100.441,112.06,108.064,108.689,110.701,111.417,110.908,110.682,111.302,111.744,114.526,113.538,113.922,114.649,117.773,100.351,96.36,99.983,102.511,98.2,101.34,103.67,103.379,101.154,102.519,99.438,112.074,102.463,101.739,100.568,101.345,100.928,98.341,98.963,101.383,99.816,97.425,107.212,102.565,98.414,98.823,98.553,101.245,100.186,96.892,96.166,96.831,96.633,95.73,104.121,117.809,102.75,99.197,102.302,99.787,99.793,98.487,99.774,98.926,97.718,96.613,102.422,106.202,99.195,98.209,97.921,97.177,94.584,98.017,98.344,96.885,96.212,98.593,108.585,105.666,98.166,96.067,96.357,95.706,93.846,94.733,95.348,96.948,96.14,93.709,99.226,109.933
      Seafood Preparations,97.738,98.489,100.826,101.454,102.049,101.495,100.705,100.557,99.104,100.241,99.618,101.006,95.909,97.039,99.636,99.501,99.502,99.187,99.483,99.519,98.541,97.955,97.648,95.158,91.435,91.092,91.022,92.03,91.513,90.824,89.785,90.434,90.644,89.997,89.068,90.377,87.47,86.534,86.152,86.051,86.019,85.478,86.414,86.804,86.426,85.914,86.864,86.804,85.867,86.312,87.925,87.43,86.775,87.318,87.448,87.542,86.729,87.483,84.414,83.614,82.75,81.49,83.426,84.218,82.632,82.997,83.137,83.268,83.759,82.848,83.884,84.516,82.477,82.713,83.146,82.732,82.893,81.838,81.936,82.546,81.916,82.023,82.63,82.073,80.687,81.223,80.903,81.253,80.512,80.325,80.046,80.659,80.204,80.203,80.316,79.812,78.634,78.612
"    Milk, Other Dairy Products & Eggs",100.614,99.498,99.253,100.108,99.963,100.17,100.101,99.79,99.696,99.991,99.918,100.246,100.828,99.933,99.784,99.752,99.6,99.845,99.269,98.402,98.278,98.007,97.666,97.629,96.43,96.837,96.15,95.429,94.102,94.125,93.695,93.434,93.605,93.305,93.309,90.86,89.84,88.949,88.478,88.612,87.781,88.028,87.853,87.987,87.946,87.952,87.489,87.585,87.485,87.053,86.633,86.655,86.538,86.901,87.071,87.193,87.638,87.821,87.962,84.623,84.744,84.889,84.731,85.204,85.371,85.164,85.05,84.309,84.215,84.293,83.815,84.972,86.213,85.493,85.191,85.103,84.844,84.775,84.253,84.227,84.303,84.52,84.304,84.118,84.833,83.822,83.352,83.453,83.309,83.546,83.12,83.155,82.811,83.426,83.63,83.149,83.045,82.5
      Milk,99.488,99.376,98.958,100.152,99.771,99.642,99.42,99.891,99.369,100.311,100.048,101.06,101.403,99.974,100.931,100.331,99.889,100.178,99.688,97.971,98.065,97.819,96.93,96.912,95.205,97.219,96.317,96.068,94.49,94.741,93.797,93.217,92.955,92.242,92.421,92.106,91.978,91.948,92.308,92.361,92.164,92.239,92.005,91.824,91.844,91.954,91.746,91.679,91.669,91.399,91.315,91.368,91.622,91.824,91.452,91.722,92.391,92.244,92.446,87.687,88.322,87.026,88.286,87.244,87.924,87.893,87.803,86.894,86.796,86.776,85.985,86.073,87.069,85.988,87.226,86.677,87.227,87.448,86.869,87.14,87.273,87.407,87.025,87.414,87.408,85.653,86.745,85.197,85.473,85.844,85.405,84.872,84.61,85.877,86.852,85.435,85.165,84.038
      Other Milk & Cream,101.158,100.779,100.483,101.129,100.984,100.574,100.061,99.55,99.883,99.535,99.694,99.89,99.625,98.591,98.876,98.677,98.035,97.85,97.527,97.127,97.145,96.754,96.395,96.048,95.349,95.011,94.563,93.731,92.99,93.111,93.382,93.23,93.392,92.731,92.345,90.911,90.377,89.026,89.159,89.791,89.054,89.578,89.41,89.641,89.909,90.013,90.204,90.063,89.805,89.58,89.068,89.68,89.339,89.38,89.608,89.866,89.665,89.838,90.04,89.368,88.95,89.225,88.432,89.464,88.858,89.421,89.147,89.082,88.754,88.886,88.372,89.151,90.364,90.223,89.66,89.83,89.287,89.314,89.092,89.416,88.99,89.439,89.353,88.794,89.841,89.309,88.958,89.495,88.982,88.791,89.052,89.209,88.249,88.706,88.659,88.84,88.12,87.769
      Dairy Products Nec,102.583,98.87,98.141,99.686,99.379,100.627,101.73,100.369,100.647,100.832,99.431,98.35,101.147,99.663,98.137,97.778,97.626,99.829,99.651,97.845,97.161,97.063,97.353,97.817,96,96.586,98.626,98.26,97.77,98.048,96.563,96.32,96.32,96.423,96.895,95.196,95.272,95.542,94.801,95.051,94.447,94.403,93.771,94.563,94.236,94.536,94.302,95.017,93.94,93.713,93.307,92.813,93.658,94.322,93.204,93.234,95.591,95.501,93.801,87.062,89.457,90.032,88.849,89.449,88.817,87.074,87.892,87.368,88.567,86.958,86.248,86.317,89.538,87.664,87.08,88.678,88.493,88.053,86.526,86.227,87.872,87.595,88.007,87.338,87.706,85.591,83.089,84.386,84.356,85.174,84.585,84.09,83.944,84.809,85.338,82.815,84.298,83.536
      Eggs,99.017,98.099,98.562,98.78,99.02,99.61,99.336,99.547,98.834,99.64,100.608,101.779,101.935,102.349,101.957,103.182,104.444,104.002,102.435,102.206,101.986,101.817,101.588,101.815,100.543,100.754,97.508,96.238,93.17,92.521,91.93,91.75,92.552,93.179,93.487,85.828,81.845,80.106,77.599,76.602,74.687,74.737,74.986,74.698,74.128,73.561,71.16,71.455,72.415,71.171,70.59,69.666,68.864,69.879,71.569,71.295,71.384,72.172,73.625,68.601,67.512,68.56,69.152,69.895,71.907,71.04,70.493,68.234,67.603,69.057,69.189,73.247,73.183,72.499,71.36,69.256,68.9,68.527,68.013,66.714,66.87,66.903,65.796,66.664,67.51,66.797,66.038,65.442,65.93,66.901,64.277,65.113,66.557,66.716,66.539,66.931,67.536,67.21
    Oils & Fats,102.567,102.137,102.231,101.393,100.824,99.177,98.146,99.473,99.115,100.678,101.893,100.929,99.388,96.757,97.445,97.863,98.821,97.614,97.089,97.311,97.384,97.597,96.688,96.533,95.016,94.91,95.165,96.746,98.182,97.496,93.847,93.587,92.944,93.015,93.723,91.46,90.75,90.728,90.054,89.866,89.182,89.735,88.142,88.296,87.729,86.721,84.623,85.558,84.573,83.801,85.051,85.52,84.923,83.799,85.371,85.747,92.71,92.396,90.629,84.609,85.209,83.279,85.08,84.119,85.033,85.394,82.435,83.198,84.866,85.882,85.588,86.297,85.88,85.318,85.254,85.774,84.809,83.734,83.6,84.853,85.267,84.189,85.806,85.093,83.024,82.607,81.907,82.11,82.339,83.108,80.251,82.214,81.619,81.201,81.765,81.798,80.344,79.889
      Vegetable Oils,102.034,102.868,103.119,102.063,101.648,98.947,97.054,98.411,98.811,100.509,102.075,101.268,99.641,96.455,96.951,97.636,98.626,96.865,96.905,97.279,97.227,97.326,97.587,97.453,96.117,95.989,96.73,97.981,100.321,99.322,96.095,95.813,95.557,95.575,96.485,93.119,92.927,92.932,92.849,92.389,91.901,92.223,90.213,90.459,89.177,88.136,86.08,86.344,85.456,85.035,86.246,86.34,86.258,84.539,86.095,86.411,95.809,95.976,93.936,86.09,86.555,85.726,86.851,85.492,85.999,86.052,82.286,83.057,86.409,88.21,87.743,88.271,87.235,87.579,87.092,87.747,86.223,84.41,84.032,85.296,86.864,85.963,86.48,86.691,84.253,83.972,84.987,84.826,84.972,85.489,82.531,85.075,85.539,84.402,85.187,84.749,83.662,83.672
      Butter & Other Fats,104.165,99.945,99.565,99.381,98.35,99.866,101.421,102.659,100.028,101.184,101.346,99.911,98.627,97.664,98.983,98.571,99.43,99.952,97.663,97.411,97.872,98.447,93.884,93.667,91.579,91.544,90.286,92.89,91.508,91.797,86.833,86.644,84.788,85.027,85.109,86.286,83.957,83.852,81.334,81.995,80.702,81.971,81.679,81.546,83.213,82.307,80.077,83.105,81.818,79.95,81.32,82.962,80.76,81.49,83.112,83.673,83.041,81.227,80.313,79.99,81.008,75.645,79.55,79.835,82.02,83.342,82.899,83.634,80.054,78.62,78.867,80.134,81.654,78.264,79.959,80.167,80.464,81.052,81.464,82.676,80.506,79.047,83.098,80.332,79.117,78.401,73.881,74.897,75.308,76.63,74.035,74.677,71.728,72.919,72.982,74.063,71.814,70.325
    Fruits & Nuts,104.435,104.421,102.39,103.084,103.299,103.369,100.398,99.837,97.08,98.091,97.376,97.509,100.597,96.973,98.593,100.269,98.596,99.458,98.968,98.355,97.796,98.834,97.799,97.3,95.738,97.109,97.671,96.575,97.441,97.708,96.713,95.132,92.51,91.914,92.662,92.606,93.029,94.007,93.743,92.858,94.185,94.091,93.284,90.995,90.881,91.344,90.194,90.141,90.806,89.444,88.316,89.825,90.524,90.445,88.863,90.639,90.193,88.928,87.934,88.738,89.246,89.474,88.424,89.037,89.629,88.492,87.806,86.8,86.66,87.655,87.756,88.572,87.541,86.993,87.131,87.112,87.659,87.052,86.535,86.305,86.62,85.974,86.108,85.39,84.166,84.397,85.306,84.435,85.279,84.362,83.736,84.137,85.657,84.829,85.176,83.696,84.706,83.753
"      Tropical Fruits, Fresh",104.877,104.168,102.89,104.886,108.52,106.68,103.45,99.619,96.474,93.849,93.994,96.992,98.279,94.368,98.356,99.227,98.359,97.836,99.062,97.786,96.904,98.239,98.081,98.242,97.935,96.304,96.278,96.567,97.667,94.926,96.298,96.117,94.96,94.815,95.531,95.583,95.336,96.527,93.782,94.591,95.922,95.939,94.135,94.108,95.107,92.951,92.605,93.062,93.295,93.01,92.812,94.29,94.014,93.588,92.599,92.674,90.138,90.18,93.865,94.182,94.912,94.894,93.669,95.345,93.995,92.048,89.898,89.029,88.099,90.08,88.62,90.524,90.304,90.499,91.27,90.661,89.297,89.254,89.845,89.307,88.449,87.371,85.923,85.807,86.966,86.445,86.95,86.434,88.361,86.839,85.743,85.423,84.07,83.639,84.368,83.976,85.127,84.839
"      Citrus, Beries, Stone & Other Fruits, Fresh",105.711,106.158,102.954,102.815,101.091,102.058,98.82,100.123,96.309,99.526,98.524,96.984,102.651,98.148,98.674,101.039,98.21,100.345,98.855,98.526,97.98,99.081,97.825,96.818,94.126,97.899,99.127,96.92,97.85,100.011,97.755,94.972,90.787,89.934,91.002,90.809,91.867,93.134,94.237,92.171,93.959,93.737,93.56,89.102,88.127,90.523,88.538,88.053,89.419,87.073,85.125,87.023,88.369,88.437,86.237,89.253,89.862,87.899,83.724,85.143,85.674,86.324,85.053,85.271,86.922,86.048,86.148,84.74,85.131,85.698,86.53,86.527,85.337,84.253,84.072,84.229,85.764,85.084,83.885,83.558,84.775,84.236,85.217,83.818,81.317,82.141,83.443,82.074,82.415,81.582,81.152,81.961,85.454,84.318,84.43,81.869,83.357,81.968
"      Fruit, Dried & Dehydrated",99.23,98.041,99.523,100.474,99.429,100.211,100.51,99.6,100.235,99.831,100.733,100.441,99.449,99.567,100.28,100.254,100.239,100.317,99.78,98.692,98.15,97.997,96.902,96.947,97.104,96.604,96.564,95.941,95.827,94.847,91.572,90.816,90.498,90.678,90.974,89.976,89.534,89.761,89.12,89.039,88.593,88.912,88.725,88.213,88.195,87.938,88.136,88.617,88.823,88.968,88.678,88.919,88.445,88.91,87.748,87.949,88.272,87.388,88.413,87.976,89.138,88.605,89.45,86.317,85.703,85.458,86.421,85.528,85.105,86.436,86.911,85.143,84.511,84.968,84.691,84.951,85.431,85.242,85.233,85.567,85.446,84.992,84.582,84.398,84.297,83.334,83.443,82.961,83.509,85.46,84.472,85.405,85.052,83.963,83.298,83.246,82.872,82.17
"      Fruits, Canned Or Bottled",95.207,93.094,98.002,99.938,100.483,104.706,98.819,98.801,103.654,103.797,100.742,100.135,94.803,96.12,98.672,103.771,102.076,100.616,99.853,97.852,98.144,97.849,93.41,96.682,97.431,98.885,97.857,99.721,99.889,99.901,98.133,98.196,98.631,98.926,97.474,97.929,96.458,96.432,95.864,95.465,89.924,88.363,88.187,88.774,91.984,89.164,88.938,88.584,87.003,88.23,88.9,88.769,88.994,90.2,86.852,91.927,92.323,91.637,89.488,89.26,86.806,85.585,85.876,87.055,89.014,88.624,81.515,82.885,89.13,88.391,89.475,89.33,83.252,81.468,84.517,87.036,89.217,85.256,82.096,86.773,86.458,85.944,89.648,89.56,82.618,83.7,87.835,89.485,89.04,79.896,76.497,81.805,81.513,81.037,83.961,84.056,82.03,78.899
"      Nuts & Seed, In Shell Or Shelled",99.566,100.15,99.494,99.976,99.448,100.342,98.721,99.295,101,103.153,100.808,100.449,98.76,98.553,98.166,98.737,100.623,99.182,98.858,99.241,99.621,99.924,97.622,97.183,97.09,95.062,94.071,94.321,94.506,94.304,93.844,94.147,94.573,93.499,92.877,93.639,93.15,92.05,92.333,92.321,92.492,92.803,91.281,93.216,93.99,92.54,92.983,93.607,91.963,91.853,91.889,91.881,92.626,92.451,92.64,93.031,93.019,91.186,92.539,91.959,91.644,90.66,90.577,91.461,92.747,92.361,92.116,92.761,91.393,91.623,92.445,95.751,93.323,93.174,93.164,93.759,94.9,92.674,92.572,93.212,92.224,92.48,92.869,94.202,92.453,92.171,91.888,92.555,92.917,93.301,93.935,93.212,93.903,93.801,94.548,95.246,93.528,93.166
    Vegetables,101.796,102.11,102.351,100.869,100.873,100.194,99.666,100.106,100.321,99.216,98.476,98.853,99.674,99.403,97.858,97.766,96.516,96.9,97.325,96.464,96.412,96.691,97.076,98.897,100.704,99.706,98.414,97.038,96.491,97.156,96.189,95.681,95.343,94.799,94.131,94.624,95.066,96.374,94.949,94.537,91.468,90.971,90.624,91.234,90.98,90.809,89.861,90.474,91.595,91.134,89.256,88.588,87.255,87.172,87.124,87.655,87.758,87.183,86.707,84.951,85.566,84.765,84.044,83.54,82.503,82.278,82.715,83.23,83.119,83.565,82.713,82.151,82.525,81.497,81.267,81.817,80.725,81.133,80.581,80.873,80.471,80.47,79.788,81.38,82.304,83.609,81.322,81.791,82.053,82.057,80.212,80.971,81.685,81.362,79.803,80.301,82.222,81.63
"      Leafy Vegetables, Fresh Or Chilled",103.697,104.947,104.687,103.066,102.79,101.54,99.968,98.943,99.66,98.522,96.822,97.676,98.76,97.57,97.713,98.25,96.168,96.49,96.878,96.222,96.398,97.642,97.041,99.909,104.162,104.019,101.676,99.331,98.573,99.875,100.048,99.108,98.044,98.075,97.213,98.207,98.366,101.839,101.114,100.577,94.436,94.11,91.772,92.326,92.752,91.963,90.067,89.979,92.019,92.147,88.759,88.539,87.328,86.728,86.649,85.693,85.086,83.05,84.315,83.2,85.1,85.058,84.588,84.273,82.512,81.552,82.324,82.75,83.13,84.616,82.784,81.116,82.134,80.575,80.525,82.681,80.32,80.662,79.365,80.527,80.033,80.49,78.525,79.052,80.595,85.03,81.351,83.007,82.549,81.971,78.06,79.605,80.066,80.309,78.143,78.634,82.622,82.192
"      Fruit-Bearing Vegetables, Fresh Or Chilled",103.496,103.362,103.617,98.793,97.943,98.278,98.103,99.832,98.502,96.698,97.797,100.577,104.94,104.923,100.342,99.717,98.505,99.775,101.596,102.783,103.485,103.288,106.511,111.342,113.646,107.243,104.277,102.37,103.403,104.719,101.287,100.204,101.915,99.236,97.96,99.942,102.834,103.226,98.727,97.451,93.991,94.628,95.168,96.096,94.597,94.543,92.579,97.191,98.823,96.416,93.452,90.901,88.544,88.834,88.653,91.255,90.655,89.945,86.958,84.193,86.971,87.074,85.015,83.488,80.872,80.804,82.723,84.658,84.11,84.852,84.769,84.464,85.163,83.357,82.025,81.373,79.536,79.962,79.898,79.409,78.374,78.426,78.245,83.886,87.588,85.261,80.405,80.168,80.448,81.233,80.25,79.685,80.369,79.05,78.917,80.428,82.423,80.564
"      Root Vegetables, Fresh Or Chilled",98.84,99.572,99.094,100.261,100.762,100.482,100.545,101.149,101.882,101.419,99.539,98.482,98.204,98.182,95.17,93.847,94.69,94.824,94.338,90.69,90.547,89.418,89.394,89.868,90.127,90.499,90.54,90.421,89.317,89.943,89.064,89.505,88.568,87.991,87.929,89.294,89.419,89.566,88.087,87.889,87.177,86.358,88.969,89.822,89.345,89.728,90.416,89.911,90.219,89.512,88.996,88.17,85.926,86.708,87.334,88.314,89.998,91.374,91.826,89.977,87.847,85.483,84.464,84.189,84.09,84.687,84.819,84.383,84.149,83.376,82.315,83.19,82.705,82.48,82.002,81.406,82.047,82.242,82.301,82.324,82.744,82.022,82.041,83.751,84.025,84.308,83.562,83.005,82.834,83.397,83.207,84.089,85.878,85.193,81.699,82.214,83.153,82.831
"      Other Vegetables, Fresh Or Chilled",98.326,98.117,98.495,100.88,99.265,100.544,101.447,100.441,103.919,99.366,99.53,101.128,96.477,98.511,98.386,99.108,98.562,98.038,99.629,100.381,100.039,101.041,100.522,100.855,100.771,99.567,97.794,96.895,96.525,97.191,97.433,96.329,96.091,97.189,97.223,96.499,96.353,95.456,95.001,95.561,93.883,94.368,93.387,92.934,92.497,92.138,90.545,92.127,92.346,93.408,93.248,92.799,93.965,92.508,93.688,93.096,93.843,93.649,94.024,93.062,93.041,92.457,92.171,91.889,92.499,92.237,91.641,90.281,91.67,91.95,91.402,91.08,91.48,91.631,91.129,91.334,91.688,92.468,91.749,90.978,91.176,91.548,89.323,90.743,90.922,91.533,91.172,90.469,89.088,87.838,87.325,87.308,87.396,87.797,88.171,87.648,87.697,87.959
"      Vegetables, Frozen",98.992,100.586,101.946,101.788,99.83,97.975,100.62,101.266,100.415,99.005,101.691,99.427,98.826,97.215,99.443,99.923,96.398,95.787,94.595,94.071,93.069,92.948,93.482,93.99,85.53,88.024,91.592,85.988,95.008,95.406,91.797,91.95,92.428,90.836,88.184,78.72,74.712,75.112,77.959,79.577,86.086,75.654,78.201,85.723,81.432,81.098,73.979,72.99,75.079,75.907,74.245,74.22,77.491,79.152,82.639,82.549,83.344,84.788,74.215,71.256,75.461,71.826,70.845,71.088,72.408,72.921,72.818,79.945,72.693,73.212,73.761,72.787,72.223,71.814,73.091,73.026,71.861,76.09,75.894,74.922,69.894,69.527,72.67,72.852,70.289,71.329,71.064,73.505,74.744,71.644,68.831,68.82,70.167,73.509,70.597,72.579,73.156,72.754
"      Vegetables, Dried, Salted, Steamed Or Smoked",99.005,96.191,98.198,97.936,98.445,98.84,99.832,100.847,101.517,100.41,100.828,101.606,101.178,100.363,100.061,100.218,97.928,97.572,95.339,94.759,93.878,94.346,92.35,92.491,92.013,92.671,92.32,92.159,90.1,89.048,87.834,87.61,87.427,87.427,87.285,86.338,86.005,86.145,86.11,85.652,84.734,85.025,84.772,85.364,83.789,85.67,85.991,86.185,84.839,84.61,84.637,84.164,84.349,84.01,84.536,84.002,84.594,84.653,84.752,84.475,84.11,83.598,83.221,83.514,83.358,83.061,82.857,81.781,80.566,78.873,79.592,79.775,80.479,79.853,79.257,79.477,79.211,79.505,79.402,79.392,78.983,78.524,78.364,78.2,78.09,78.169,78.134,78.551,78.077,78.816,78.505,78.535,78.593,77.866,77.474,77.077,77.487,77.242
"      Vegetables, Canned Or Bottled",99.735,98.314,102.765,102.847,101.916,98.328,98.509,99,101.122,99.964,100.116,101.106,97.391,96.935,99.174,98.989,100.047,97.822,96.621,96.123,95.108,95.367,95.746,95.012,92.717,91.838,92.761,91.959,94.223,93.774,92.793,92.538,92.921,93.057,92.709,91.359,91.406,91.357,92.115,91.962,92.053,89.852,89.56,88.985,91.17,90.932,89.823,90.028,90.146,89.93,90.711,91.047,91.352,89.309,88.514,90.049,93.413,94.44,91.863,90.982,86.189,84.525,85.049,85.477,85.423,86.524,84.781,85.358,87.95,86.708,87.765,87.188,87.74,87.372,84.877,85.713,85.129,84.068,83.442,84.899,85.623,84.836,85.276,85.426,84.08,84.268,84.499,84.046,94.407,93.706,92.624,94.485,95.279,94.951,95.126,95.052,94.371,94.035
"      Vegetables, Preserved Or Prepared, Other Forms",101.187,100.704,101.131,99.378,101.435,100.34,99.596,101.709,100.837,101.143,100.07,97.695,97.928,98.739,97.112,97.302,95.134,96.452,98.019,97.109,96.289,96.096,97.459,95.877,95.65,96.467,97.278,97.433,94.7,93.647,92.529,92.637,92.155,92.077,91.668,89.801,89.243,88.411,87.114,87.47,87.655,86.58,86.574,86.49,86.384,86.357,87.734,86.816,87.098,87.191,87.332,87.599,86.32,87.017,85.541,87.632,86.949,87.064,84.599,81.344,81.112,79.419,79.582,78.759,79.436,79.559,78.665,79.328,78.36,78.528,78.401,78.461,77.511,77.269,78.882,78.969,78.745,79.51,79.094,78.834,78.523,78.808,78.841,78.505,76.695,77.942,78.05,78.431,77.709,78.134,76.771,77.447,77.495,77.028,76.457,76.028,76.283,76.24
"    Sugar, Confectionery & Desserts",100.959,99.718,99.427,100.329,101.668,101.052,100.534,98.484,100.808,101.007,100.059,99.076,99.183,98.374,98.605,99.076,100.605,100.737,101.849,101.57,99.358,99.502,98.409,98.474,98.541,97.458,97.825,99.077,98.577,98.665,95.594,95.234,94.596,93.668,94.374,93.499,92.705,92.926,92.222,91.884,93.462,93.417,92.555,93.549,92.504,92.992,93.59,92.884,93.693,92.872,93.394,93.206,93.522,93.81,93.392,94.056,93.658,93.849,90.78,88.067,91.165,86.58,88.591,88.981,88.478,88.448,87.863,88.542,88.019,88.234,87.733,88.527,88.016,87.527,88.236,88.093,88.784,89.244,89.094,88.894,88.991,88.177,89.397,88.201,87.789,87.394,87.265,89.147,87.451,87.875,86.498,87.563,86.956,87.855,87.679,87.014,87.25,86.172
      Sugar,100.485,101.804,103.006,102.735,102.703,102.567,100.481,101.425,103.255,97.735,97.37,97.148,96.146,95.433,94.549,95.971,96.875,95.495,95.097,96.829,96.097,96.144,94.888,94.924,93.358,92.958,94.638,94.805,90.503,88.443,88.524,88.693,88.985,87.767,87.683,88.534,87.667,87.52,86.61,87.084,86.74,86.675,87.152,86.439,87.329,86.42,85.74,85.594,85.041,84.847,84.347,84.794,85.883,84.174,84.57,85.32,86.254,86.517,87.165,87.021,86.53,83.632,85.029,86.315,86.628,84.07,83.544,84.952,84.275,83.402,85.963,87.267,83.288,84.111,83.774,84.609,84.779,84.144,83.434,86.397,86.379,86.18,87.237,86.788,84.374,84.547,87.276,86.665,86.365,85.761,85.306,84.308,83.153,83.554,84.201,84.785,83.462,82.613
"      Jams, Fruit Jellies, Fruit Puree & Pastes, Honey",101.12,101.059,98.221,98.46,99.538,101.243,101.351,101.075,101.423,101.901,102.861,97.437,96.196,100.297,98.653,98.976,98.18,98.659,100.886,97.003,97.476,97.641,99.926,99.116,98.669,98.813,96.47,97.451,96.591,97.024,95.39,94.8,94.262,94.389,94.398,92.946,92.35,92.194,91.553,91.855,92.971,90.856,91.738,91.762,91.56,92.381,92.632,90.925,93.031,92.968,92.48,92.544,92.413,90.691,89.801,90.546,90.019,90.589,91.087,88.781,90.098,88.899,90.942,89.863,89.617,89.789,90.63,89.392,89.091,89.462,89.473,88.889,89.631,89.483,90.018,90.635,91.249,91.146,91.059,91.956,90.821,89.845,89.878,88.566,89.564,90.871,89.539,90.273,88.794,89.466,89.137,89.936,88.654,88.995,90.075,88.237,87.921,88.18
      Nut Butter & Paste,97.442,98.964,100.206,96.577,100.176,100.44,100.352,99.789,101.766,99.138,101.723,100.369,98.065,101.397,101.696,99.484,102.102,100.439,102.23,102.727,102.782,102.999,101.169,103.333,103.247,103.279,101.476,100.942,102.68,102.406,101.781,101.859,102.556,101.602,101.357,99.018,97.529,99.067,97.271,98.501,96.727,97.349,101.809,101.382,102.241,102.195,102.14,101.651,98.022,97.105,95.164,96.49,95.128,93.332,93.189,96.569,93.175,93.057,92.53,91.566,94.661,95.166,98.299,93.639,94.78,92.854,91.486,92.583,92.275,95.693,100.058,94.471,96.238,96.612,93.956,94.93,92.986,92.438,91.262,93.342,92.591,93.06,94.172,88.899,91.583,91.173,90.837,92.97,94.529,92.585,91.282,92.378,94.438,93.186,95.658,91.694,94.118,93.485
"      Chocolate, Cocoa, & Cocoa-Based Food Products",100.621,94.929,97.045,99.623,104.028,103.201,99.722,96.518,100.228,103.7,101.096,100.149,98.511,96.179,99.266,99.304,102.675,102.155,104.432,104.78,98.585,102.11,98.74,98.387,97.682,93.823,96.104,95.616,96.109,96.612,93.451,93.711,92.465,91.737,94.163,92.055,90.311,89.999,89.037,88.061,92.782,93.776,89.44,93.449,89.645,91.666,93.382,90.212,89.748,89.272,90.423,89.874,90.451,92.162,90.97,92.351,92.48,92.395,87.302,87.81,89.523,81.512,84.988,87.996,86.12,87.864,85.943,84.799,86.193,87.98,85.56,87.749,84.134,84.496,84.78,85.069,87.511,88.023,88.828,87.141,87.509,86.367,87.904,85.971,84.955,83.643,84.827,86.982,85.652,86.129,83.092,85.786,84.55,86.829,86.132,86.312,85.742,83.984
